X1,country,date,sm_plf,pred_arr,sd_arr,showup
5077,NL,2020-08-13,2356.08699977815,3168.64141359074,140.813567995938,0.833928755546698
5088,MT,2020-08-13,795.868297611367,2791.64136384413,103.888229367272,0.615248822007683
5124,SE,2020-08-14,2037.14285714286,3962.24252935513,168.855633121351,1
5183,BG,2020-08-14,31.4631787205056,31.9135300210271,95.1534620213941,0.563519618874726
5188,NL,2020-08-14,1975.30334082696,2775.96497758785,123.533739341502,0.731593829935911
5199,MT,2020-08-14,812.67229404572,2860.154674609,105.731432374121,0.626164673452949
5239,SE,2020-08-15,1973.71428571429,3930.45826458922,168.855633121351,1
5310,BG,2020-08-15,34.9815086380384,34.9815086380384,100.115674383321,0.592906926068447
5314,NL,2020-08-15,1647.80633019079,2379.77408045637,108.054905299315,0.639924788423609
5324,MT,2020-08-15,805.712464916892,2833.07948564257,105.464409594811,0.624583306137126
5365,SE,2020-08-16,1903.14285714286,3831.41872516152,168.855633121351,1
5435,BG,2020-08-16,32.938209318794,32.938209318794,96.6069859028777,0.572127705289226
5442,NL,2020-08-16,1352.1853165607,1967.42607508896,92.9550281538187,0.550500012558155
5453,MT,2020-08-16,839.411288925983,2818.1829127401,106.674042843311,0.631747018866991
5490,SE,2020-08-17,1865.42857142857,3744.33363798452,168.855633121351,1
5552,BG,2020-08-17,35.979648807828,35.979648807828,105.26624913987,0.623409756571277
5558,NL,2020-08-17,1251.24492009217,1667.12654655387,89.1314573738481,0.527855989914133
5568,MT,2020-08-17,861.671508438946,2701.03211784958,106.447179839111,0.630403486525149
5602,BE,2020-08-18,399.634992839032,518.022140765465,77.6755335059352,0.460011502548526
5603,SE,2020-08-18,1793.57142857143,3351.7464404845,168.855633121351,1
5627,CZ,2020-08-18,140.359580678832,206.23990452285,69.1480842018133,0.409510082213953
5663,BG,2020-08-18,35.1735530803431,35.1735530803431,113.903474031675,0.674561291951785
5667,NL,2020-08-18,1170.3951105272,1313.80800735901,87.968628496211707,0.520969462907949
5678,MT,2020-08-18,891.496989879839,2346.46960398662,106.234501518658,0.629143958983655
5682,ES,2020-08-18,68.9781940289278,254.207286646346,87.0830401818464,0.515724815169553
5714,BE,2020-08-19,433.36048757569,569.214342922797,84.6545112209282,0.501342535372154
5716,SE,2020-08-19,1803.71428571429,2457.65310194157,168.855633121351,1
5736,CZ,2020-08-19,147.353739464743,207.566797104864,72.2040306735857,0.427608065771162
5776,BG,2020-08-19,38.7907338190857,38.7907338190857,126.309194016101,0.748030679706887
5779,NL,2020-08-19,1117.43890145139,1264.44403452602,88.936837401724,0.526703407862077
5787,MT,2020-08-19,916.125675062523,1743.40794723941,104.270665976875,0.617513695275653
5794,ES,2020-08-19,95.4383095027072,251.787141855271,89.9291081200392,0.532579852135643
5827,BE,2020-08-20,477.326860717738,592.998564796129,92.8207246898123,0.549704638062654
5828,SE,2020-08-20,1676,2386.33788482222,168.855633121351,1
5849,CZ,2020-08-20,164.595149276635,235.611657438459,81.1074459332961,0.480336038745045
5892,BG,2020-08-20,37.2658505861341,38.7240694029604,127.674903077366,0.75611870754475
5896,NL,2020-08-20,1027.25907353458,1091.00903053362,88.2291359315023,0.522512244931119
5905,MT,2020-08-20,925.343452774226,1722.19202240421,104.624658696214,0.619610117602791
5909,ES,2020-08-20,120.003592226713,254.066377372798,93.379182222479,0.55301194574522
5940,BE,2020-08-21,476.548748291725,618.982759058679,97.503130386343,0.577434868970412
5941,SE,2020-08-21,1687.57142857143,2474.79725255902,168.855633121351,1
5961,CZ,2020-08-21,169.287673325346,244.53768506294,84.1801602073798,0.498533324895845
6000,BG,2020-08-21,35.5942092469742,39.3843230880673,129.851787546178,0.769010693607468
6005,NL,2020-08-21,1203.04022849454,1289.27294758102,104.603563055046,0.619485184600688
6014,MT,2020-08-21,942.403337312632,1746.3780465701,104.700703566424,0.620060471960562
6020,ES,2020-08-21,112.331460172728,261.885097614508,97.7002198590008,0.578602075944882
6055,BE,2020-08-22,539.130882570931,689.555668395539,114.018072210146,0.675239967435411
6056,SE,2020-08-22,1729.42857142857,2518.35186279721,168.855633121351,1
6080,CZ,2020-08-22,192.723483934493,281.110988080149,96.7702299404325,0.573094472192629
6124,BG,2020-08-22,31.0364713627386,38.6339308194774,127.377712335609,0.754358678955453
6128,NL,2020-08-22,1360.14250025404,1360.14250025404,118.928396294538,0.704319980897935
6137,MT,2020-08-22,965.901345155393,1794.62916201047,105.966695951629,0.62755795582771
6142,ES,2020-08-22,122.523166222529,289.539885039778,105.324427368555,0.623754300769238
6174,BE,2020-08-23,598.742494552464,789.776123632133,130.81465821815,0.774713024374723
6175,SE,2020-08-23,1774.42857142857,2869.09629149404,168.855633121351,1
6200,CZ,2020-08-23,217.333636878295,322.100582782768,112.079433671707,0.663758925893572
6233,BG,2020-08-23,30.6420314900154,38.8168389349462,127.980768168185,0.757930107526882
6236,NL,2020-08-23,1520.99428713656,1520.99428713656,134.314469428376,0.795439672017626
6246,MT,2020-08-23,986.118962037239,2062.27241077136,108.466610057172,0.642362994068553
6252,ES,2020-08-23,137.526214648593,323.816733505182,117.79313936007,0.697596740971125
6283,BE,2020-08-24,545.139329101692,731.577880234963,124.849627181496,0.739386805601984
6284,SE,2020-08-24,1781.14285714286,3091.38887145375,168.855633121351,1
6306,CZ,2020-08-24,192.622084949407,277.762639942674,103.021388575116,0.610115201197216
6342,BG,2020-08-24,27.5581330919465,35.1586766255702,115.91965151666,0.68650153609831
6345,NL,2020-08-24,1506.93697326228,1506.93697326228,134.723816417761,0.797863914441868
6355,MT,2020-08-24,969.751218167286,2030.14198568492,106.260840956417,0.629299946896357
6360,ES,2020-08-24,138.879723067298,293.504203690477,113.680308146624,0.673239654758369
6386,BE,2020-08-25,542.229237249611,737.243411560227,125.816495498396,0.74511281129707
6387,SE,2020-08-25,1836.71428571429,3064.18284424127,168.855633121351,1
6410,CZ,2020-08-25,189.277892792359,286.691081124003,106.332922511075,0.629726829632374
6449,BG,2020-08-25,25.4020853259137,34.2355083069304,112.87592632394,0.668475929629308
6453,NL,2020-08-25,1469.66691258758,1469.66691258758,134.182817782894,0.794660002171566
6460,MT,2020-08-25,967.279070396885,2028.91649626953,106.196696903054,0.628920071779509
6465,ES,2020-08-25,151.282962841467,300.911449187764,117.025434095215,0.693050222441277
6492,BE,2020-08-26,572.58660214771,753.5198914607,128.594207212081,0.761563027747287
6493,SE,2020-08-26,1101.03574319187,1984.96655964763,99.9241870808735,0.59177289637155
6514,CZ,2020-08-26,190.96113841917,297.06500861304,112.016897025012,0.663388570190666
6548,BG,2020-08-26,17.7982714753582,27.863225574469,91.8662392535416,0.544051966495667
6554,NL,2020-08-26,1440.81899115914,1440.81899115914,131.254938016038,0.777320457658108
6565,MT,2020-08-26,994.401651979876,2196.84752008146,108.060333148281,0.639956933332641
6569,ES,2020-08-26,145.863738466396,303.501316142941,120.397623852886,0.713021067922327
6597,BE,2020-08-27,566.314969106292,748.717314321471,127.476348996722,0.754942826841372
6598,SE,2020-08-27,1119.86967293311,2008.35102538919,98.966289230328,0.586100015740691
6619,CZ,2020-08-27,182.097277838203,282.784874390654,110.152025574877,0.652344393483839
6661,BG,2020-08-27,17.839957036703,26.985750744263,88.9731674347308,0.526918562265489
6666,NL,2020-08-27,1474.22008480333,1474.22008480333,133.423626375019,0.790163904565339
6674,MT,2020-08-27,979.233920526145,2186.79122922722,108.466324184276,0.642361301066725
6679,ES,2020-08-27,149.385936101421,303.621134712313,120.445155347079,0.713302559829434
6711,BE,2020-08-28,573.371884867442,749.906871122917,127.678882523157,0.75614227469331
6712,SE,2020-08-28,1147.71150602135,1991.02987129369,99.0278758251882,0.586464745028793
6736,CZ,2020-08-28,170.999678956799,292.265476732522,110.207095625183,0.652670530369461
6777,BG,2020-08-28,18.4703932971947,27.590142777986,90.9658736641132,0.538719804501513
6780,NL,2020-08-28,1499.65485548286,1499.65485548286,134.032226132511,0.793768165472971
6791,MT,2020-08-28,984.252097792756,2162.50386831394,108.981318769714,0.645411211667381
6797,ES,2020-08-28,152.818419280162,285.169265542864,119.306312140746,0.706558081216071
