"date","country","cases_metric"
2020-09-07,"AU",3.221
2020-09-08,"AU",3.104
2020-09-09,"AU",3.036
2020-09-10,"AU",2.661
2020-09-11,"AU",2.398
2020-09-12,"AU",2.241
2020-09-13,"AU",2.09
2020-09-14,"AU",2.078
2020-09-15,"AU",2.05
2020-09-16,"AU",1.754
2020-09-17,"AU",1.619
2020-09-18,"AU",1.664
2020-09-19,"AU",1.557
2020-09-20,"AU",1.384
2020-09-21,"AU",1.232
2020-09-22,"AU",1.137
2020-09-23,"AU",1.087
2020-09-24,"AU",0.936
2020-09-25,"AU",0.779
2020-09-26,"AU",0.734
2020-09-27,"AU",0.796
2020-09-28,"AU",0.739
2020-09-29,"AU",0.633
2020-09-30,"AU",0.594
2020-10-01,"AU",0.65
2020-10-02,"AU",0.611
2020-10-03,"AU",0.588
2020-10-04,"AU",0.532
2020-10-05,"AU",0.583
2020-10-06,"AU",0.661
2020-10-07,"AU",0.577
2020-10-08,"AU",0.616
2020-10-09,"AU",0.655
2020-10-10,"AU",0.689
2020-10-11,"AU",0.717
2020-10-12,"AU",0.768
2020-10-13,"AU",0.768
2020-10-14,"AU",0
2020-10-15,"AU",0.846
2020-10-16,"AU",0.812
2020-10-17,"AU",0.751
2020-10-18,"AU",0.711
2020-10-19,"AU",0.639
2020-10-20,"AU",0.532
2020-10-21,"AU",0
2020-10-22,"AU",0.566
2020-10-23,"AU",0.588
2020-10-24,"AU",0.655
2020-10-25,"AU",0.689
2020-10-26,"AU",0
2020-10-27,"AU",0.751
2020-10-28,"AU",0.616
2020-10-29,"AU",0
2020-10-30,"AU",0.577
2020-10-31,"AU",0.504
2020-11-01,"AU",0.459
2020-08-06,"AZ",26.517
2020-08-07,"AZ",0
2020-08-08,"AZ",21.106
2020-08-09,"AZ",0
2020-08-10,"AZ",0
2020-08-11,"AZ",0
2020-08-12,"AZ",11.568
2020-08-13,"AZ",10.159
2020-08-14,"AZ",9.412
2020-08-15,"AZ",9.046
2020-08-16,"AZ",8.82
2020-08-17,"AZ",9.172
2020-08-18,"AZ",0
2020-08-19,"AZ",0
2020-08-20,"AZ",0
2020-08-21,"AZ",11.892
2020-08-22,"AZ",0
2020-08-23,"AZ",0
2020-08-24,"AZ",0
